City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Alihe,CN,2022-05-07 19:03:15,50.5667,123.7167,36.63,57,0,1.54
68,Kenai,US,2022-05-07 19:03:16,60.5544,-151.2583,56.03,73,24,6.64
69,Namwala,ZM,2022-05-07 19:03:17,-15.7504,26.4384,68.58,57,28,4.18
70,Hilo,US,2022-05-07 19:02:22,19.7297,-155.09,87.28,93,100,4.5
71,Jiayuguan,CN,2022-05-07 19:03:17,39.8167,98.3,54.54,29,100,6.13
72,Puerto Ayora,EC,2022-05-07 19:02:35,-0.7393,-90.3518,75.16,80,45,10.11
73,Zonguldak,TR,2022-05-07 19:03:18,41.25,31.8333,40.06,91,4,2.68
74,Freeport,US,2022-05-07 18:59:59,40.6576,-73.5832,49.01,83,100,18.41
75,Upernavik,GL,2022-05-07 19:03:19,72.7868,-56.1549,18.84,74,8,7.02
76,Omboue,GA,2022-05-07 19:03:20,-1.5746,9.2618,76.91,88,100,3.56
77,Hasaki,JP,2022-05-07 19:03:21,35.7333,140.8333,61.29,91,19,7.7
78,Butaritari,KI,2022-05-07 19:03:21,3.0707,172.7902,81.25,80,100,15.26
79,Kodiak,US,2022-05-07 19:03:22,57.79,-152.4072,45.72,59,7,3.96
80,Coahuayana,MX,2022-05-07 19:03:24,18.7333,-103.6833,90.3,44,55,9.13
81,Katsuura,JP,2022-05-07 19:03:24,35.1333,140.3,61.93,93,15,6.06
82,Opunake,NZ,2022-05-07 19:03:25,-39.4556,173.8583,57.85,84,91,11.54
83,Srednekolymsk,RU,2022-05-07 19:03:26,67.45,153.6833,21.85,95,99,8.03
84,Tiksi,RU,2022-05-07 19:03:26,71.6872,128.8694,4.78,97,13,7.36
85,Jamestown,US,2022-05-07 18:59:15,42.097,-79.2353,63.01,42,66,15.01
86,Jacmel,HT,2022-05-07 19:03:27,18.2342,-72.5347,82.58,67,0,8.88
87,Yarmouth,US,2022-05-07 19:03:28,41.7057,-70.2286,51.85,76,75,21.0
88,Thompson,CA,2022-05-07 18:59:15,55.7435,-97.8558,64.56,55,40,10.36
89,Kamaishi,JP,2022-05-07 19:03:29,39.2667,141.8833,49.51,83,100,7.18
90,Touros,BR,2022-05-07 19:03:29,-5.1989,-35.4608,76.35,86,100,13.15
91,Sisimiut,GL,2022-05-07 19:03:30,66.9395,-53.6735,32.68,57,1,7.78
92,Provideniya,RU,2022-05-07 19:01:45,64.3833,-173.3,31.75,90,100,7.4
93,Esperance,AU,2022-05-07 19:04:30,-33.8667,121.9,57.65,48,100,17.54
94,Kahului,US,2022-05-07 19:04:31,20.8947,-156.47,77.02,75,40,16.11
95,Tijara,IN,2022-05-07 19:04:32,27.9333,76.85,87.91,18,0,4.74
96,Hithadhoo,MV,2022-05-07 19:04:32,-0.6,73.0833,84.11,77,13,15.9
97,Macieira De Cambra,PT,2022-05-07 19:04:33,40.8594,-8.3734,68.04,50,100,3.29
98,Khatanga,RU,2022-05-07 19:04:33,71.9667,102.5,-11.2,100,97,5.35
99,Riyadh,SA,2022-05-07 19:03:18,24.6877,46.7219,84.27,18,0,15.75
100,Killin,US,2022-05-07 19:04:34,33.6123,-91.7412,75.29,53,0,3.44
101,Iqaluit,CA,2022-05-07 19:01:22,63.7506,-68.5145,27.7,46,82,11.99
102,El Cobre,CU,2022-05-07 19:04:35,20.0489,-75.9469,83.64,74,20,9.22
103,Grand-Santi,GF,2022-05-07 19:04:35,4.25,-54.3833,80.83,94,97,2.93
104,Kavieng,PG,2022-05-07 19:04:36,-2.5744,150.7967,82.85,76,62,18.03
105,Harlingen,US,2022-05-07 19:04:37,26.1906,-97.6961,94.96,37,0,14.97
106,Akureyri,IS,2022-05-07 19:04:37,65.6835,-18.0878,44.22,58,100,8.39
107,Powell River,CA,2022-05-07 19:00:24,49.8496,-124.5361,55.18,61,95,8.39
108,Iracoubo,GF,2022-05-07 19:01:18,5.4802,-53.2011,80.49,84,100,10.07
109,Tuktoyaktuk,CA,2022-05-07 19:04:38,69.4541,-133.0374,30.87,89,100,8.19
110,Niono,ML,2022-05-07 19:04:39,14.2526,-5.993,100.87,15,85,3.96
111,Behbahan,IR,2022-05-07 19:04:39,30.5959,50.2417,81.63,30,0,3.38
112,Gurupa,BR,2022-05-07 19:04:40,-1.405,-51.64,81.37,92,100,3.04
113,College,US,2022-05-07 19:04:04,64.8569,-147.8028,46.2,92,75,0.0
114,Leningradskiy,RU,2022-05-07 19:04:40,69.3833,178.4167,22.46,93,98,2.26
115,Arraial Do Cabo,BR,2022-05-07 19:04:41,-22.9661,-42.0278,75.06,78,40,9.22
116,Tucumcari,US,2022-05-07 19:04:41,35.1717,-103.725,96.64,5,0,25.32
117,La Sarre,CA,2022-05-07 19:02:38,48.8002,-79.1996,54.73,29,11,4.56
118,Grindavik,IS,2022-05-07 19:04:42,63.8424,-22.4338,46.87,76,75,25.32
119,Dalvik,IS,2022-05-07 19:04:43,65.9702,-18.5286,41.95,72,100,3.71
120,Vila Velha,BR,2022-05-07 19:04:44,-20.3297,-40.2925,76.95,73,20,14.97
121,Marolambo,MG,2022-05-07 19:04:44,-20.05,48.1167,68.63,99,78,1.81
122,Mahibadhoo,MV,2022-05-07 19:04:45,3.7833,72.9667,84.02,78,100,14.61
123,Edgewater,US,2022-05-07 19:01:22,28.9889,-80.9023,92.16,35,20,19.01
124,Mangochi,MW,2022-05-07 19:04:45,-14.4782,35.2645,70.48,71,10,1.74
125,Cabo Rojo,PR,2022-05-07 19:04:46,18.0866,-67.1457,88.72,69,11,7.0
126,Sechura,PE,2022-05-07 19:04:46,-5.5569,-80.8222,80.44,57,4,11.54
127,Saint-Philippe,RE,2022-05-07 19:04:47,-21.3585,55.7679,71.19,83,31,11.41
128,Seoul,KR,2022-05-07 19:00:15,37.5683,126.9778,58.44,41,100,4.03
129,Mehamn,NO,2022-05-07 19:04:48,71.0357,27.8492,37.31,96,100,34.31
130,Kapit,MY,2022-05-07 19:04:48,2.0167,112.9333,74.82,99,100,1.07
131,Gat,IL,2022-05-07 19:04:49,31.61,34.7642,65.08,100,67,4.52
132,Bluff,NZ,2022-05-07 19:04:49,-46.6,168.3333,57.79,97,100,9.13
133,Komsomolskiy,UZ,2022-05-07 19:03:06,40.4272,71.7189,70.52,52,0,6.91
134,Camacha,PT,2022-05-07 19:04:50,33.0833,-16.3333,62.02,72,20,13.8
135,Miragoane,HT,2022-05-07 19:04:51,18.4423,-73.0876,83.59,64,0,9.1
136,Ilo,PE,2022-05-07 19:04:51,-17.6394,-71.3375,67.06,77,100,8.05
137,Punta Arenas,CL,2022-05-07 19:04:52,-53.15,-70.9167,51.12,66,39,27.67
138,Seydi,TM,2022-05-07 19:05:52,39.4816,62.9137,88.45,19,84,9.04
139,Saint Anthony,US,2022-05-07 19:01:32,45.0205,-93.218,74.34,31,0,20.71
140,Flin Flon,CA,2022-05-07 19:05:53,54.7682,-101.865,64.94,47,93,7.56
141,Vincennes,FR,2022-05-07 19:05:54,48.85,2.4333,67.57,54,0,10.36
142,Dali,CN,2022-05-07 19:05:54,25.7,100.1833,60.93,74,54,4.47
143,Richards Bay,ZA,2022-05-07 19:02:11,-28.783,32.0377,68.09,90,3,2.48
144,Porto Santo,PT,2022-05-07 19:05:55,33.072,-16.3415,64.78,72,20,13.8
145,Fort Wellington,GY,2022-05-07 19:05:56,6.4,-57.6,76.08,92,100,2.53
146,El Calvario,GT,2022-05-07 19:05:56,14.1167,-89.9167,80.67,51,70,5.73
